,Feature,Importance
0,[Hist Cont] LapTimeDelta (Hist Target),0.07462888188434369
1,[Fut Cont] Stint_Age,0.025153862255992365
2,[Fut Cont] TyreLife,0.01562232727354218
3,[Hist Cont] TyreLife,0.012975919878844056
4,[Fut Cont] Compound_INTERMEDIATE,0.008956864024653566
5,[Hist Cont] Stint_Age,0.008080065701947081
6,[Fut Cont] Stint,0.006013123826547062
7,[Hist Cont] Compound_INTERMEDIATE,0.0046145965655645105
8,[Fut Cont] Rainfall,0.0041136005611130955
9,[Hist Cont] Stint,0.0037160466114679602
10,[Hist Cont] SpeedST,0.0033745472178314806
11,[Hist Cont] LapTimeSeconds,0.0029153421972737403
12,[Hist Cont] Sector2Time,0.0026804290034554423
13,[Hist Cont] IsPersonalBest,0.0026794414628635854
14,[Hist Cont] TyreLifeSquared,0.0020778612657026407
15,[Fut Cont] Compound_HARD,0.001983245665376887
16,[Hist Cont] Rainfall,0.001860130465391907
17,[Hist Cont] TrackTemp,0.0018342792084722337
18,[Hist Cont] Sector3Time,0.0016129351023471683
19,[Fut Cont] TyreLifeSquared,0.0014020254214605066
20,[Hist Cont] Compound_MEDIUM,0.0010987642136487397
21,[Hist Cat] Event,0.0010818622329018535
22,[Hist Cont] SpeedFL,0.0010777531248150618
23,[Fut Cont] Compound_MEDIUM,0.0010238637526830408
24,[Hist Cont] AirTemp,0.0008529320810780616
25,[Hist Cont] Relative_Gap,0.0008285090778813453
26,[Hist Cont] Compound_HARD,0.0007632767612283375
27,[Fut Cont] FreshTyre,0.0007459394859544721
28,[Hist Cont] IsSafetyCar,0.0006626505743373423
29,[Fut Cont] LapNumber,0.0006252098264116768
30,[Hist Cont] IsRedFlag,0.0006207367687514065
31,[Hist Cont] Compound_SOFT,0.0005912396943930087
32,[Hist Cat] Driver,0.0005778394865266767
33,[Hist Cont] FreshTyre,0.0005629270365743455
34,[Fut Cont] Compound_SOFT,0.000548693718332216
35,[Hist Cat] Team,0.00046420503746380515
36,[Fut Cont] IsSafetyCar,0.00040481894305255395
37,[Fut Cont] IsRedFlag,0.00039791518991638686
38,[Fut Cont] TrackTemp,0.0003254869670579197
39,[Hist Cont] IsVSC,0.00023297875216510278
40,[Fut Cont] AirTemp,0.00018801336938689683
41,[Fut Cont] IsVSC,0.0001589669422670248
42,[Hist Cont] DRS_Active,3.632225773553266e-05
43,[Hist Cont] Compound_WET,3.2988461581173745e-05
44,[Hist Cat] Year,0.0
45,[Hist Cont] Sector1Time,0.0
46,[Hist Cont] SpeedI1,0.0
47,[Hist Cont] SpeedI2,0.0
48,[Hist Cont] LapNumber,0.0
49,[Hist Cont] IsPitClosed,0.0
50,[Hist Cont] IsSCEnding,0.0
51,[Fut Cont] Compound_WET,0.0
52,[Fut Cont] IsPitClosed,0.0
53,[Fut Cont] IsSCEnding,0.0
